iter:0 | 0: -0.088388 +i0.000000
iter:1 | 5: 0.972272 +i0.000000
iter:2 | 5: 0.972272 +i0.000000
iter:3 | 5: 0.972272 +i0.000000
iter:4 | 5: 0.972272 +i0.000000
iter:5 | 5: 0.972272 +i0.000000
iter:6 | 5: 0.972272 +i0.000000
iter:7 | 5: 0.972272 +i0.000000
iter:8 | 5: 0.972272 +i0.000000
iter:9 | 5: 0.972272 +i0.000000
iter:10 | 5: 0.972272 +i0.000000
iter:11 | 5: 0.972272 +i0.000000
iter:12 | 5: 0.972272 +i0.000000
iter:13 | 5: 0.972272 +i0.000000
iter:14 | 5: 0.972272 +i0.000000
iter:15 | 1: -0.088388 +i0.000000
iter:16 | 5: 0.972272 +i0.000000
iter:17 | 5: 0.972272 +i0.000000
iter:18 | 5: 0.972272 +i0.000000
iter:19 | 5: 0.972272 +i0.000000
iter:20 | 6: -0.088388 +i0.000000
iter:21 | 5: 0.972272 +i0.000000
iter:22 | 5: 0.972272 +i0.000000
iter:23 | 0: -0.088388 +i0.000000
iter:24 | 1: -0.088388 +i0.000000
iter:25 | 5: 0.972272 +i0.000000
iter:26 | 5: 0.972272 +i0.000000
iter:27 | 5: 0.972272 +i0.000000
iter:28 | 5: 0.972272 +i0.000000
iter:29 | 5: 0.972272 +i0.000000
iter:30 | 5: 0.972272 +i0.000000
iter:31 | 5: 0.972272 +i0.000000
iter:32 | 5: 0.972272 +i0.000000
iter:33 | 5: 0.972272 +i0.000000
iter:34 | 5: 0.972272 +i0.000000
iter:35 | 5: 0.972272 +i0.000000
iter:36 | 5: 0.972272 +i0.000000
iter:37 | 5: 0.972272 +i0.000000
iter:38 | 5: 0.972272 +i0.000000
iter:39 | 5: 0.972272 +i0.000000
iter:40 | 5: 0.972272 +i0.000000
iter:41 | 5: 0.972272 +i0.000000
iter:42 | 5: 0.972272 +i0.000000
iter:43 | 5: 0.972272 +i0.000000
iter:44 | 5: 0.972272 +i0.000000
iter:45 | 5: 0.972272 +i0.000000
iter:46 | 5: 0.972272 +i0.000000
iter:47 | 5: 0.972272 +i0.000000
iter:48 | 5: 0.972272 +i0.000000
iter:49 | 5: 0.972272 +i0.000000
iter:50 | 5: 0.972272 +i0.000000
iter:51 | 5: 0.972272 +i0.000000
iter:52 | 7: -0.088388 +i0.000000
iter:53 | 7: -0.088388 +i0.000000
iter:54 | 5: 0.972272 +i0.000000
iter:55 | 5: 0.972272 +i0.000000
iter:56 | 5: 0.972272 +i0.000000
iter:57 | 5: 0.972272 +i0.000000
iter:58 | 5: 0.972272 +i0.000000
iter:59 | 3: -0.088388 +i0.000000
iter:60 | 5: 0.972272 +i0.000000
iter:61 | 5: 0.972272 +i0.000000
iter:62 | 5: 0.972272 +i0.000000
iter:63 | 5: 0.972272 +i0.000000
iter:64 | 1: -0.088388 +i0.000000
iter:65 | 5: 0.972272 +i0.000000
iter:66 | 5: 0.972272 +i0.000000
iter:67 | 5: 0.972272 +i0.000000
iter:68 | 5: 0.972272 +i0.000000
iter:69 | 5: 0.972272 +i0.000000
iter:70 | 5: 0.972272 +i0.000000
iter:71 | 5: 0.972272 +i0.000000
iter:72 | 5: 0.972272 +i0.000000
iter:73 | 5: 0.972272 +i0.000000
iter:74 | 5: 0.972272 +i0.000000
iter:75 | 5: 0.972272 +i0.000000
iter:76 | 5: 0.972272 +i0.000000
iter:77 | 5: 0.972272 +i0.000000
iter:78 | 5: 0.972272 +i0.000000
iter:79 | 5: 0.972272 +i0.000000
iter:80 | 5: 0.972272 +i0.000000
iter:81 | 5: 0.972272 +i0.000000
iter:82 | 5: 0.972272 +i0.000000
iter:83 | 5: 0.972272 +i0.000000
iter:84 | 5: 0.972272 +i0.000000
iter:85 | 5: 0.972272 +i0.000000
iter:86 | 5: 0.972272 +i0.000000
iter:87 | 5: 0.972272 +i0.000000
iter:88 | 5: 0.972272 +i0.000000
iter:89 | 5: 0.972272 +i0.000000
iter:90 | 5: 0.972272 +i0.000000
iter:91 | 6: -0.088388 +i0.000000
iter:92 | 5: 0.972272 +i0.000000
iter:93 | 5: 0.972272 +i0.000000
iter:94 | 5: 0.972272 +i0.000000
iter:95 | 5: 0.972272 +i0.000000
iter:96 | 5: 0.972272 +i0.000000
iter:97 | 5: 0.972272 +i0.000000
iter:98 | 5: 0.972272 +i0.000000
iter:99 | 5: 0.972272 +i0.000000
iter:100 | 5: 0.972272 +i0.000000
iter:101 | 5: 0.972272 +i0.000000
iter:102 | 5: 0.972272 +i0.000000
iter:103 | 5: 0.972272 +i0.000000
iter:104 | 5: 0.972272 +i0.000000
iter:105 | 5: 0.972272 +i0.000000
iter:106 | 5: 0.972272 +i0.000000
iter:107 | 5: 0.972272 +i0.000000
iter:108 | 5: 0.972272 +i0.000000
iter:109 | 5: 0.972272 +i0.000000
iter:110 | 5: 0.972272 +i0.000000
iter:111 | 5: 0.972272 +i0.000000
iter:112 | 5: 0.972272 +i0.000000
iter:113 | 5: 0.972272 +i0.000000
iter:114 | 5: 0.972272 +i0.000000
iter:115 | 5: 0.972272 +i0.000000
iter:116 | 5: 0.972272 +i0.000000
iter:117 | 5: 0.972272 +i0.000000
iter:118 | 5: 0.972272 +i0.000000
iter:119 | 5: 0.972272 +i0.000000
iter:120 | 5: 0.972272 +i0.000000
iter:121 | 5: 0.972272 +i0.000000
iter:122 | 5: 0.972272 +i0.000000
iter:123 | 5: 0.972272 +i0.000000
iter:124 | 5: 0.972272 +i0.000000
iter:125 | 5: 0.972272 +i0.000000
iter:126 | 5: 0.972272 +i0.000000
iter:127 | 5: 0.972272 +i0.000000
iter:128 | 5: 0.972272 +i0.000000
iter:129 | 5: 0.972272 +i0.000000
iter:130 | 5: 0.972272 +i0.000000
iter:131 | 4: -0.088388 +i0.000000
iter:132 | 5: 0.972272 +i0.000000
iter:133 | 5: 0.972272 +i0.000000
iter:134 | 5: 0.972272 +i0.000000
iter:135 | 5: 0.972272 +i0.000000
iter:136 | 5: 0.972272 +i0.000000
iter:137 | 5: 0.972272 +i0.000000
iter:138 | 5: 0.972272 +i0.000000
iter:139 | 5: 0.972272 +i0.000000
iter:140 | 5: 0.972272 +i0.000000
iter:141 | 5: 0.972272 +i0.000000
iter:142 | 5: 0.972272 +i0.000000
iter:143 | 5: 0.972272 +i0.000000
iter:144 | 5: 0.972272 +i0.000000
iter:145 | 5: 0.972272 +i0.000000
iter:146 | 5: 0.972272 +i0.000000
iter:147 | 5: 0.972272 +i0.000000
iter:148 | 5: 0.972272 +i0.000000
iter:149 | 5: 0.972272 +i0.000000
iter:150 | 5: 0.972272 +i0.000000
iter:151 | 5: 0.972272 +i0.000000
iter:152 | 5: 0.972272 +i0.000000
iter:153 | 5: 0.972272 +i0.000000
iter:154 | 5: 0.972272 +i0.000000
iter:155 | 5: 0.972272 +i0.000000
iter:156 | 3: -0.088388 +i0.000000
iter:157 | 7: -0.088388 +i0.000000
iter:158 | 5: 0.972272 +i0.000000
iter:159 | 5: 0.972272 +i0.000000
iter:160 | 5: 0.972272 +i0.000000
iter:161 | 5: 0.972272 +i0.000000
iter:162 | 5: 0.972272 +i0.000000
iter:163 | 5: 0.972272 +i0.000000
iter:164 | 5: 0.972272 +i0.000000
iter:165 | 5: 0.972272 +i0.000000
iter:166 | 5: 0.972272 +i0.000000
iter:167 | 5: 0.972272 +i0.000000
iter:168 | 5: 0.972272 +i0.000000
iter:169 | 5: 0.972272 +i0.000000
iter:170 | 5: 0.972272 +i0.000000
iter:171 | 5: 0.972272 +i0.000000
iter:172 | 5: 0.972272 +i0.000000
iter:173 | 5: 0.972272 +i0.000000
iter:174 | 5: 0.972272 +i0.000000
iter:175 | 5: 0.972272 +i0.000000
iter:176 | 5: 0.972272 +i0.000000
iter:177 | 5: 0.972272 +i0.000000
iter:178 | 5: 0.972272 +i0.000000
iter:179 | 5: 0.972272 +i0.000000
iter:180 | 5: 0.972272 +i0.000000
iter:181 | 5: 0.972272 +i0.000000
iter:182 | 0: -0.088388 +i0.000000
iter:183 | 5: 0.972272 +i0.000000
iter:184 | 5: 0.972272 +i0.000000
iter:185 | 5: 0.972272 +i0.000000
iter:186 | 5: 0.972272 +i0.000000
iter:187 | 5: 0.972272 +i0.000000
iter:188 | 5: 0.972272 +i0.000000
iter:189 | 1: -0.088388 +i0.000000
iter:190 | 5: 0.972272 +i0.000000
iter:191 | 5: 0.972272 +i0.000000
iter:192 | 5: 0.972272 +i0.000000
iter:193 | 5: 0.972272 +i0.000000
iter:194 | 5: 0.972272 +i0.000000
iter:195 | 5: 0.972272 +i0.000000
iter:196 | 5: 0.972272 +i0.000000
iter:197 | 5: 0.972272 +i0.000000
iter:198 | 5: 0.972272 +i0.000000
iter:199 | 5: 0.972272 +i0.000000
iter:200 | 5: 0.972272 +i0.000000
iter:201 | 5: 0.972272 +i0.000000
iter:202 | 5: 0.972272 +i0.000000
iter:203 | 5: 0.972272 +i0.000000
iter:204 | 5: 0.972272 +i0.000000
iter:205 | 5: 0.972272 +i0.000000
iter:206 | 5: 0.972272 +i0.000000
iter:207 | 5: 0.972272 +i0.000000
iter:208 | 5: 0.972272 +i0.000000
iter:209 | 5: 0.972272 +i0.000000
iter:210 | 5: 0.972272 +i0.000000
iter:211 | 5: 0.972272 +i0.000000
iter:212 | 5: 0.972272 +i0.000000
iter:213 | 7: -0.088388 +i0.000000
iter:214 | 5: 0.972272 +i0.000000
iter:215 | 7: -0.088388 +i0.000000
iter:216 | 5: 0.972272 +i0.000000
iter:217 | 5: 0.972272 +i0.000000
iter:218 | 5: 0.972272 +i0.000000
iter:219 | 5: 0.972272 +i0.000000
iter:220 | 5: 0.972272 +i0.000000
iter:221 | 5: 0.972272 +i0.000000
iter:222 | 5: 0.972272 +i0.000000
iter:223 | 5: 0.972272 +i0.000000
iter:224 | 5: 0.972272 +i0.000000
iter:225 | 5: 0.972272 +i0.000000
iter:226 | 5: 0.972272 +i0.000000
iter:227 | 5: 0.972272 +i0.000000
iter:228 | 5: 0.972272 +i0.000000
iter:229 | 5: 0.972272 +i0.000000
iter:230 | 5: 0.972272 +i0.000000
iter:231 | 5: 0.972272 +i0.000000
iter:232 | 5: 0.972272 +i0.000000
iter:233 | 5: 0.972272 +i0.000000
iter:234 | 5: 0.972272 +i0.000000
iter:235 | 5: 0.972272 +i0.000000
iter:236 | 5: 0.972272 +i0.000000
iter:237 | 5: 0.972272 +i0.000000
iter:238 | 5: 0.972272 +i0.000000
iter:239 | 5: 0.972272 +i0.000000
iter:240 | 5: 0.972272 +i0.000000
iter:241 | 5: 0.972272 +i0.000000
iter:242 | 5: 0.972272 +i0.000000
iter:243 | 5: 0.972272 +i0.000000
iter:244 | 5: 0.972272 +i0.000000
